🚀 Training with 1 GPUs (DDP)
Per-GPU batch size: 4
Gradient accumulation steps: 64
Total effective batch size: 256
Device: cuda:0
Loading training dataset from wikipedia-50/train
Final Vocab Size: 181
Phoneme vocab size: 181
Pruned BPE vocab size: 24734
Training dataset size: 599058
Step 100/1000000 | Loss: 27.2966 | LR: 1.00e-11 | MLM: 5.3894 | CTC: 21.9072
Step 200/1000000 | Loss: 25.9075 | LR: 3.00e-11 | MLM: 5.2845 | CTC: 20.6230
Step 300/1000000 | Loss: 26.2924 | LR: 4.00e-11 | MLM: 5.2040 | CTC: 21.0883
Step 400/1000000 | Loss: 24.0602 | LR: 6.00e-11 | MLM: 5.1470 | CTC: 18.9132
Step 500/1000000 | Loss: 22.6270 | LR: 7.00e-11 | MLM: 5.0746 | CTC: 17.5524
Step 600/1000000 | Loss: 21.1672 | LR: 9.00e-11 | MLM: 5.0485 | CTC: 16.1187
Step 700/1000000 | Loss: 19.5537 | LR: 1.00e-10 | MLM: 4.9341 | CTC: 14.6197
Step 800/1000000 | Loss: 17.5616 | LR: 1.20e-10 | MLM: 4.9335 | CTC: 12.6280
Step 900/1000000 | Loss: 15.6700 | LR: 1.40e-10 | MLM: 4.9010 | CTC: 10.7690
Step 1000/1000000 | Loss: 14.8800 | LR: 1.50e-10 | MLM: 4.8389 | CTC: 10.0411
Step 1100/1000000 | Loss: 14.1392 | LR: 1.70e-10 | MLM: 4.7250 | CTC: 9.4141
Step 1200/1000000 | Loss: 13.7281 | LR: 1.80e-10 | MLM: 4.5606 | CTC: 9.1675
Step 1300/1000000 | Loss: 13.1050 | LR: 2.00e-10 | MLM: 4.4800 | CTC: 8.6250
Step 1400/1000000 | Loss: 12.7189 | LR: 2.10e-10 | MLM: 4.2129 | CTC: 8.5060
Step 1500/1000000 | Loss: 12.4316 | LR: 2.30e-10 | MLM: 4.2628 | CTC: 8.1688
Step 1600/1000000 | Loss: 12.0325 | LR: 2.50e-10 | MLM: 4.1364 | CTC: 7.8961
Step 1700/1000000 | Loss: 11.5407 | LR: 2.60e-10 | MLM: 3.9200 | CTC: 7.6207
Step 1800/1000000 | Loss: 11.4160 | LR: 2.80e-10 | MLM: 3.8961 | CTC: 7.5199
Step 1900/1000000 | Loss: 11.4827 | LR: 2.90e-10 | MLM: 3.9474 | CTC: 7.5353
Step 2000/1000000 | Loss: 10.9756 | LR: 3.10e-10 | MLM: 3.8205 | CTC: 7.1551
Step 2100/1000000 | Loss: 11.1251 | LR: 3.20e-10 | MLM: 3.7808 | CTC: 7.3443
Step 2200/1000000 | Loss: 10.7359 | LR: 3.40e-10 | MLM: 3.6894 | CTC: 7.0465
Step 2300/1000000 | Loss: 10.6667 | LR: 3.50e-10 | MLM: 3.6200 | CTC: 7.0467
Step 2400/1000000 | Loss: 10.1382 | LR: 3.70e-10 | MLM: 3.5188 | CTC: 6.6194
Step 2500/1000000 | Loss: 10.0242 | LR: 3.90e-10 | MLM: 3.4768 | CTC: 6.5474
Step 2600/1000000 | Loss: 9.8111 | LR: 4.00e-10 | MLM: 3.4704 | CTC: 6.3407
Step 2700/1000000 | Loss: 9.6376 | LR: 4.20e-10 | MLM: 3.3481 | CTC: 6.2894
Step 2800/1000000 | Loss: 9.6852 | LR: 4.30e-10 | MLM: 3.5697 | CTC: 6.1155
Step 2900/1000000 | Loss: 9.3412 | LR: 4.50e-10 | MLM: 3.3315 | CTC: 6.0097
Step 3000/1000000 | Loss: 9.4354 | LR: 4.60e-10 | MLM: 3.3488 | CTC: 6.0866
Step 3100/1000000 | Loss: 9.0962 | LR: 4.80e-10 | MLM: 3.2603 | CTC: 5.8359
Step 3200/1000000 | Loss: 9.3044 | LR: 5.00e-10 | MLM: 3.4782 | CTC: 5.8262
Step 3300/1000000 | Loss: 8.7476 | LR: 5.10e-10 | MLM: 3.2369 | CTC: 5.5107
Step 3400/1000000 | Loss: 8.9824 | LR: 5.30e-10 | MLM: 3.2986 | CTC: 5.6839
Step 3500/1000000 | Loss: 8.6322 | LR: 5.40e-10 | MLM: 3.3364 | CTC: 5.2958
Step 3600/1000000 | Loss: 8.6991 | LR: 5.60e-10 | MLM: 3.2727 | CTC: 5.4264
Step 3700/1000000 | Loss: 8.5454 | LR: 5.70e-10 | MLM: 3.1649 | CTC: 5.3805
Step 3800/1000000 | Loss: 8.3815 | LR: 5.90e-10 | MLM: 3.2383 | CTC: 5.1432
Step 3900/1000000 | Loss: 8.5379 | LR: 6.00e-10 | MLM: 3.3025 | CTC: 5.2354
Step 4000/1000000 | Loss: 8.6438 | LR: 6.20e-10 | MLM: 3.1980 | CTC: 5.4458
Step 4100/1000000 | Loss: 8.4861 | LR: 6.40e-10 | MLM: 3.2413 | CTC: 5.2448
Step 4200/1000000 | Loss: 8.4669 | LR: 6.50e-10 | MLM: 3.3245 | CTC: 5.1424
